Marque,Nom,Référence,Condition,Boîte,Papiers,Prix
Panerai,Luminor Marina 1950,PAM 1351,Excellent,Yes,Yes,"$7,850"
Grand Seiko,Sport Spring Drive Diver,SBGA229,Excellent,Yes,Yes,"$5,100"
OMEGA,Seamaster 300M,212.30.36.20.01.002,Excellent,Yes,Yes,"$4,100"
Rolex,Datejust,126331,Excellent,No,No,"$16,300"
IWC,Pilot Spitfire,IW3268-01,Excellent,Yes,Yes,"$4,400"
OMEGA,Seamaster 300,233.30.41.21.01.001,Excellent,No,No,"$4,450"
Grand Seiko,Heritage Spring Drive,SBGA413,Excellent,Yes,Yes,"$6,100"
OMEGA,Speedmaster Professional Moonwatch,311.30.42.30.01.005,Excellent,No,No,"$5,300"
Cartier,Tank Louis,W1529756,Excellent,No,No,"$9,100"
Panerai,Submersible,PAM 973,Excellent,Yes,Yes,"$7,850"
Audemars Piguet,Royal Oak Offshore,15720CN.OO.A002CA.01,Excellent,No,No,"$64,000"
Blancpain,Fifty Fathoms Sport,5015-1130-71S,Excellent,Yes,Yes,"$12,000"
Nomos,Tangente Sport,501.S6,Excellent,Yes,Yes,"$2,850"
Ressence,Antwerp,Type 1S,Excellent,No,No,"$17,000"
OMEGA,Seamaster Planet Ocean,232.90.42.21.03.001,Excellent,No,No,"$6,000"
TAG Heuer,Aquaracer,CAK2111,Excellent,Yes,Yes,"$2,475"
Cartier,Pasha C,W31044M7,Excellent,No,No,"$2,800"
Grand Seiko,Elegance Spring Drive,SBGA293,Excellent,Yes,Yes,"$4,800"
Rolex,GMT-Master II,16710,Excellent,Yes,Yes,"$14,700"
Rolex,Datejust,116200,Excellent,No,No,"$7,950"
Rolex,Submariner,16613,Excellent,No,No,"$13,200"
Rolex,Oyster Perpetual,124200,Excellent,No,No,"$6,950"
Panerai,Radiomir Base,PAM 210,Excellent,No,No,"$4,450"
Breitling,Bentley GT,A13362,Excellent,No,No,"$5,075"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,Yes,Yes,"$4,500"
Breitling,Navitimer 1,AB012121,Excellent,No,No,"$6,200"
Zenith,Chronomaster El Primero,97.T384.4061,Excellent,Yes,Yes,"$6,850"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
OMEGA,Speedmaster Dark Side of the Moon,311.92.44.51.01.007,Excellent,No,No,"$8,000"
